SecuCode,Cur_TradingDay,updatetime,Ltg,preLtg,pre_cp,net0
sh600004,20230727,20230726,23.66718283,23.66718283,13.87,806.98694245
sh600021,20230727,20230726,28.16743645,28.16743645,10.24,806.98694245
sh600026,20230727,20230726,34.74776395,34.74776395,14.2,806.98694245
sh600031,20230727,20230726,84.86602087,84.86602087,17.31,806.98694245
sh600032,20230727,20230726,24.04675324,24.04675324,11.42,806.98694245
sh600036,20230727,20230726,206.28944429,206.28944429,33.35,806.98694245
sh600038,20230727,20230726,5.89476716,5.89476716,40.33,806.98694245
sh600048,20230727,20230726,119.70443418,119.70443418,13.74,806.98694245
sh600056,20230727,20230726,14.95879748,14.95879748,13.14,806.98694245
sh600059,20230727,20230726,9.11542413,9.11542413,10.91,806.98694245
sh600060,20230727,20230726,13.07652222,13.07652222,22.51,806.98694245
sh600062,20230727,20230726,10.4312681,10.4312681,16.9,806.98694245
sh600066,20230727,20230726,22.13939223,22.13939223,13.68,806.98694245
sh600071,20230727,20230726,2.81573889,2.81573889,19.92,806.98694245
sh600072,20230727,20230726,7.36249883,7.36249883,23.81,806.98694245
sh600088,20230727,20230726,3.977064,3.977064,15.01,806.98694245
sh600089,20230727,20230726,50.504432,50.504432,16.22,806.98694245
sh600096,20230727,20230726,18.34328747,18.34328747,18.72,806.98694245
sh600111,20230727,20230726,36.15065842,36.15065842,24.09,806.98694245
sh600129,20230727,20230726,5.56890744,5.56890744,49.66,806.98694245
sh600131,20230727,20230726,12.02519044,12.02519044,17.63,806.98694245
sh600132,20230727,20230726,4.83971198,4.83971198,87.59,806.98694245
sh600141,20230727,20230726,11.11674796,11.11674796,25.4,806.98694245
sh600160,20230727,20230726,26.99746081,26.99746081,15.35,806.98694245
sh600161,20230727,20230726,16.47809538,16.47809538,25.55,806.98694245
sh600176,20230727,20230726,40.03136728,40.03136728,14.5,806.98694245
sh600183,20230727,20230726,23.49764527,23.49764527,15.96,806.98694245
sh600188,20230727,20230726,45.9204072,45.9204072,17.93,806.98694245
sh600199,20230727,20230726,6.57796824,6.57796824,26.64,806.98694245
sh600201,20230727,20230726,11.20369226,11.20369226,10.02,806.98694245
sh600211,20230727,20230726,2.47937843,2.47937843,55.04,806.98694245
sh600213,20230727,20230726,2.86,2.86,11.41,806.98694245
sh600215,20230727,20230726,4.6503288,4.6503288,10.15,806.98694245
sh600216,20230727,20230726,9.64975,9.64975,11.17,806.98694245
