SecuCode,Cur_TradingDay,updatetime,Ltg,preLtg,pre_cp,net0
sh600007,20230811,20230810,10.07282534,10.07282534,19.81,807.54588183
sh600009,20230811,20230810,24.8848134,24.8848134,47.83,807.54588183
sh600030,20230811,20230810,122.00469974,122.00469974,25.2,807.54588183
sh600031,20230811,20230810,84.86602087,84.86602087,16.5,807.54588183
sh600036,20230811,20230810,206.28944429,206.28944429,34.14,807.54588183
sh600038,20230811,20230810,5.89476716,5.89476716,39.75,807.54588183
sh600056,20230811,20230810,14.95879748,14.95879748,13.24,807.54588183
sh600072,20230811,20230810,7.36249883,7.36249883,22.53,807.54588183
sh600081,20230811,20230810,4.47276315,4.47276315,10.75,807.54588183
sh600088,20230811,20230810,3.977064,3.977064,13.9,807.54588183
sh600096,20230811,20230810,18.34328747,18.34328747,18.19,807.54588183
sh600104,20230811,20230810,116.83461365,116.83461365,15.23,807.54588183
sh600109,20230811,20230810,37.2435931,37.2435931,10.56,807.54588183
sh600111,20230811,20230810,36.15065842,36.15065842,24.8,807.54588183
sh600132,20230811,20230810,4.83971198,4.83971198,90.05,807.54588183
sh600138,20230811,20230810,7.2384,7.2384,13.49,807.54588183
sh600141,20230811,20230810,11.11674796,11.11674796,23.19,807.54588183
sh600148,20230811,20230810,1.4151645,1.4151645,15.27,807.54588183
sh600150,20230811,20230810,44.72428758,44.72428758,29.39,807.54588183
sh600153,20230811,20230810,30.0517103,30.0517103,11.08,807.54588183
sh600184,20230811,20230810,5.08760826,5.08760826,12.65,807.54588183
sh600188,20230811,20230810,45.9204072,45.9204072,18.1,807.54588183
sh600196,20230811,20230810,21.20216111,21.20216111,29.81,807.54588183
sh600201,20230811,20230810,11.20369226,11.20369226,10.15,807.54588183
sh600206,20230811,20230810,8.46553332,8.46553332,13,807.54588183
sh600213,20230811,20230810,2.86,2.86,10.29,807.54588183
sh600216,20230811,20230810,9.64975,9.64975,11.04,807.54588183
sh600230,20230811,20230810,4.16144936,4.16144936,15.3,807.54588183
sh600259,20230811,20230810,3.3643591,3.3643591,37.65,807.54588183
sh600262,20230811,20230810,1.7,1.7,18.99,807.54588183
sh600271,20230811,20230810,18.52884638,18.52884638,13.51,807.54588183
sh600283,20230811,20230810,3.52995758,3.52995758,14.61,807.54588183
sh600288,20230811,20230810,4.368,4.368,10.71,807.54588183
sh600301,20230811,20230810,6.32567479,6.32567479,17.02,807.54588183
sh600305,20230811,20230810,11.12956032,11.12956032,11.12,807.54588183
sh600309,20230811,20230810,31.39746626,31.39746626,96.75,807.54588183
sh600312,20230811,20230810,13.56921309,13.56921309,11.76,807.54588183
sh600330,20230811,20230810,12.33434416,12.33434416,10.28,807.54588183
sh600338,20230811,20230810,9.14210168,9.14210168,17.71,807.54588183
