SecuCode,Cur_TradingDay,updatetime,Ltg,preLtg,pre_cp,net0
sh600004,20230814,20230811,23.66718283,23.66718283,14.31,788.67377025
sh600007,20230814,20230811,10.07282534,10.07282534,19.73,788.67377025
sh600009,20230814,20230811,24.8848134,24.8848134,47.13,788.67377025
sh600030,20230814,20230811,122.00469974,122.00469974,24.1,788.67377025
sh600031,20230814,20230811,84.86602087,84.86602087,15.9,788.67377025
sh600036,20230814,20230811,206.28944429,206.28944429,33.15,788.67377025
sh600038,20230814,20230811,5.89476716,5.89476716,39.24,788.67377025
sh600072,20230814,20230811,7.36249883,7.36249883,22.02,788.67377025
sh600081,20230814,20230811,4.47276315,4.47276315,10.53,788.67377025
sh600088,20230814,20230811,3.977064,3.977064,13.65,788.67377025
sh600096,20230814,20230811,18.34328747,18.34328747,17.86,788.67377025
sh600104,20230814,20230811,116.83461365,116.83461365,14.8,788.67377025
sh600109,20230814,20230811,37.2435931,37.2435931,10.15,788.67377025
sh600111,20230814,20230811,36.15065842,36.15065842,24.26,788.67377025
sh600132,20230814,20230811,4.83971198,4.83971198,87.8,788.67377025
sh600138,20230814,20230811,7.2384,7.2384,13.39,788.67377025
sh600141,20230814,20230811,11.11674796,11.11674796,22.66,788.67377025
sh600148,20230814,20230811,1.4151645,1.4151645,15.19,788.67377025
sh600184,20230814,20230811,5.08760826,5.08760826,12.36,788.67377025
sh600188,20230814,20230811,45.9204072,45.9204072,17.68,788.67377025
sh600196,20230814,20230811,21.20216111,21.20216111,29.62,788.67377025
sh600206,20230814,20230811,8.46553332,8.46553332,12.73,788.67377025
sh600213,20230814,20230811,2.86,2.86,10.12,788.67377025
sh600216,20230814,20230811,9.64975,9.64975,10.94,788.67377025
sh600230,20230814,20230811,4.16144936,4.16144936,14.94,788.67377025
sh600259,20230814,20230811,3.3643591,3.3643591,36.57,788.67377025
sh600262,20230814,20230811,1.7,1.7,18.78,788.67377025
sh600271,20230814,20230811,18.52884638,18.52884638,13.03,788.67377025
sh600283,20230814,20230811,3.52995758,3.52995758,14.26,788.67377025
sh600288,20230814,20230811,4.368,4.368,10.48,788.67377025
sh600301,20230814,20230811,6.32567479,6.32567479,16.58,788.67377025
sh600305,20230814,20230811,11.12956032,11.12956032,10.93,788.67377025
sh600309,20230814,20230811,31.39746626,31.39746626,95,788.67377025
sh600312,20230814,20230811,13.56921309,13.56921309,11.53,788.67377025
sh600330,20230814,20230811,12.33434416,12.33434416,10.06,788.67377025
sh600338,20230814,20230811,9.14210168,9.14210168,17.3,788.67377025
sh600343,20230814,20230811,6.38206348,6.38206348,10.18,788.67377025
sh600345,20230814,20230811,1.98,1.98,19.16,788.67377025
sh600367,20230814,20230811,2.932366,2.932366,13.63,788.67377025
sh600373,20230814,20230811,13.55063719,13.55063719,12.22,788.67377025
sh600378,20230814,20230811,9.11473807,9.11473807,39.98,788.67377025
sh600388,20230814,20230811,10.81094891,10.81094891,16.97,788.67377025
sh600389,20230814,20230811,4.4348337,4.4348337,24.03,788.67377025
sh600392,20230814,20230811,17.5282657,17.5282657,12.41,788.67377025
sh600416,20230814,20230811,13.25406445,13.25406445,16.92,788.67377025
sh600418,20230814,20230811,21.84009791,21.84009791,13.73,788.67377025
sh600435,20230814,20230811,14.98138483,14.98138483,10.45,788.67377025
sh600438,20230814,20230811,45.01967811,45.01967811,34.71,788.67377025
sh600446,20230814,20230811,9.40815005,9.40815005,14.36,788.67377025
sh600456,20230814,20230811,4.77777539,4.77777539,32.84,788.67377025
sh600460,20230814,20230811,14.16071845,14.16071845,29.31,788.67377025
sh600476,20230814,20230811,1.6107,1.6107,16.12,788.67377025
sh600481,20230814,20230811,18.70661251,18.70661251,11.19,788.67377025
sh600487,20230814,20230811,24.66734657,24.66734657,14.39,788.67377025
sh600501,20230814,20230811,4.319286,4.319286,13.72,788.67377025
sh600508,20230814,20230811,7.22718,7.22718,14.2,788.67377025
sh600511,20230814,20230811,7.54502998,7.54502998,32.78,788.67377025
sh600519,20230814,20230811,12.561978,12.561978,1834,788.67377025
sh600520,20230814,20230811,1.5843,1.5843,13.63,788.67377025
sh600551,20230814,20230811,4.84325171,4.84325171,10.91,788.67377025
sh600560,20230814,20230811,2.236455,2.236455,12.9,788.67377025
sh600563,20230814,20230811,2.25,2.25,132.39,788.67377025
sh600580,20230814,20230811,13.11366126,13.11366126,12.23,788.67377025
sh600585,20230814,20230811,39.99702579,39.99702579,25.35,788.67377025
sh600588,20230814,20230811,34.33121989,34.33121989,18.84,788.67377025
sh600593,20230814,20230811,1.288,1.288,15.85,788.67377025
sh600596,20230814,20230811,11.4574654,11.4574654,11.13,788.67377025
sh600598,20230814,20230811,17.77679909,17.77679909,14.04,788.67377025
sh600610,20230814,20230811,7.10914605,7.10914605,13.09,788.67377025
sh600621,20230814,20230811,10.60899292,10.60899292,12.5,788.67377025
sh600633,20230814,20230811,12.65730523,12.65730523,13.88,788.67377025
sh600636,20230814,20230811,4.40449035,4.40449035,10.95,788.67377025
